Site Name,Current WAN1,Future WAN1,WAN1 Change,Current WAN2,Future WAN2,WAN2 Change,Fix Type
GAA 13,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast n (300.0M x 30.0M),Comcast (300.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 14,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (500.0M x 500.0M),AT&T Broadband II (500.0M x 500.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 15,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 18,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 19,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 22,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 24,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 25,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,(empty),(empty),,Provider Name Fix
GAA 26,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 27,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast (),Comcast (),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 28,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 29,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast Workplace n (500.0M x 30.0M),Comcast Workplace (500.0M x 30.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 30,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
GAA 31,nSpectrum n (600.0M x 35.0M),Spectrum (600.0M x 35.0M),✓ CHANGED,nVerizon Business (),Verizon Business (),✓ CHANGED,Provider Name Fix + Provider Name Fix
