site_id,site_name,primary_provider,primary_ip,primary_bandwidth
FLO 01,FLO 01,Spectrum,75.112.41.254,600.0M x 35.0M
FLO 02,FLO 02,Spectrum,75.112.39.62,600.0M x 35.0M
FLO 03,FLO 03,Spectrum,71.41.117.78,600.0M x 35.0M
FLO 04,FLO 04,Spectrum,45.3.143.186,600.0M x 35.0M
FLO 05,FLO 05,Spectrum,45.3.171.18,600.0M x 35.0M
FLO 06,FLO 06,Spectrum,97.68.34.70,600.0M x 35.0M
FLO 07,FLO 07,Spectrum,45.3.130.82,600.0M x 35.0M
FLO 08,FLO 08,Spectrum,131.148.46.74,600.0M x 35.0M
FLO 09,FLO 09,Spectrum,131.148.26.138,600.0M x 35.0M
FLO 10,FLO 10,Spectrum,71.41.79.238,600.0M x 35.0M
FLO 11,FLO 11,Comcast Workplace,96.94.20.169,600.0M x 35.0M
FLO 12,FLO 12,Spectrum,97.68.106.46,600.0M x 35.0M
FLO 13,FLO 13,Spectrum,97.68.93.114,600.0M x 35.0M
FLO 14,FLO 14,AT&T Broadband II,99.25.86.105,1000.0M x 200.0M
FLO 15,FLO 15,AT&T Broadband II,68.95.178.169,1000.0M x 1000.0M
FLO 16,FLO 16,Spectrum,144.129.80.126,600.0M x 35.0M
FLP 01,FLP 01,Cox Business/BOI,174.76.192.26,300.0M x 30.0M
FLP 02,FLP 02,AT&T Broadband II,162.233.215.49,200.0M x 200.0M
FLP 03,FLP 03,Mediacom/BOI,72.255.76.90,300.0M x 20.0M
FLP 04,FLP 04,Cox Business/BOI,98.191.245.201,300.0M x 30.0M
FLS 01,FLS 01,Comcast Workplace,96.64.172.49,300.0M x 30.0M
FLS 02,FLS 02,Comcast Workplace,23.24.160.5,600.0M x 35.0M
FLS 03,FLS 03,Comcast Workplace,173.9.149.9,600.0M x 35.0M
FLS 04,FLS 04,AT&T Broadband II,108.223.229.225,1000.0M x 1000.0M
FLT 01,FLT 01,MetroNet,46.110.99.217,300.0M x 300.0M
GAA 00,GAA 00,AT&T Broadband II,64.109.201.225,1000.0M x 1000.0M
GAA 03,GAA 03,Comcast Workplace,96.77.72.189,250.0M x 25.0M
GAA 05,GAA 05,AT&T Broadband II,75.52.170.49,300.0M x 300.0M
GAA 06,GAA 06,Comcast Workplace,96.93.161.169,600.0M x 35.0M
GAA 07,GAA 07,Spectrum,24.178.75.226,600.0M x 35.0M
GAA 08,GAA 08,Comcast Workplace,96.87.236.113,600.0M x 35.0M
GAA 11,GAA 11,Spectrum,75.141.179.26,600.0M x 35.0M
GAA 17,GAA 17,Spectrum,47.46.129.106,600.0M x 35.0M
GAA 19,GAA 19,Spectrum,96.38.200.190,600.0M x 35.0M
GAA 22,GAA 22,Cox Business/BOI,184.176.62.247,300.0M x 30.0M
GAA 24,GAA 24,Spectrum,71.85.69.170,600.0M x 35.0M
